final_success_rate,learning_curve_auc,rolling_auc,avg_training_return,avg_training_length,avg_repeated_state_rate,avg_unique_states,training_time,evaluation_return_mean,evaluation_episode_length_mean,evaluation_success_length_mean,evaluation_failed_length_mean,evaluation_repeated_state_rate_mean,evaluation_inference_time_mean,checkpoint_500,checkpoint_1000,checkpoint_2000,checkpoint_5000,checkpoint_10000,algorithm,environment,seed
0.0,1.0,1.0,0.0001,72.5238,0.7529775572350986,9.8843,3.2289234790368937,0.0,100.0,0.0,100.0,1.0,0.0002867229185067117,0.002,0.001,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,1
0.0,1.0,0.9999999999999999,0.0001,72.7631,0.7519733930610479,9.8876,3.206316019408405,0.0,100.0,0.0,100.0,1.0,0.0002826509861042723,0.002,0.001,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,2
1.0,3137.0,3055.120530948121,0.3138,22.3697,0.31150622192006794,13.6258,0.9759578860830516,1.0,14.0,14.0,0.0,0.0,4.189449560362846e-05,0.004,0.008,0.0245,0.0898,0.3138,qlearning,frozenlake_8x8,3
0.0,0.0,0.0,0.0,72.9457,0.7540181707723669,9.868,3.190995554556139,0.0,100.0,0.0,100.0,1.0,0.0003357259235344827,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,4
0.0,0.0,0.0,0.0,72.7892,0.752667946911264,9.8919,3.23182649287628,0.0,100.0,0.0,100.0,1.0,0.00029528127913363276,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,5
0.0,1.0,1.0,0.0001,72.7869,0.753583810603034,9.8982,3.2221422950387932,0.0,100.0,0.0,100.0,1.0,0.0002855808258755133,0.0,0.0,0.0,0.0002,0.0001,qlearning,frozenlake_8x8,6
0.0,0.0,0.0,0.0,72.4483,0.7527083878334503,9.8933,3.1423056179773994,0.0,100.0,0.0,100.0,1.0,0.0002895061622839421,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,7
0.0,1.0,1.0,0.0001,72.4989,0.7527829282963974,9.8873,3.27656226727413,0.0,100.0,0.0,100.0,1.0,0.0002948051068233326,0.002,0.001,0.0005,0.0002,0.0001,qlearning,frozenlake_8x8,8
0.0,0.0,0.0,0.0,72.8222,0.7533838137708151,9.876,3.1945566072827205,0.0,100.0,0.0,100.0,1.0,0.0002887431775452569,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,9
0.0,0.0,0.0,0.0,72.4877,0.7520558513012094,9.9043,3.170956645917613,0.0,100.0,0.0,100.0,1.0,0.00028838501288555563,0.0,0.0,0.0,0.0,0.0,qlearning,frozenlake_8x8,10
